#Format: Name, Url, Spritesheet xpos, Spritesheet ypos
#Radio Revolt,http://streamer.radiorevolt.no:8000/revolt,0,2
NRK P1,http://lyd.nrk.no/nrk_radio_p1_ostlandssendingen_mp3_h,0,0
NRK P2,http://lyd.nrk.no/nrk_radio_p2_mp3_h,1,0
NRK P3,http://lyd.nrk.no/nrk_radio_p3_mp3_h,2,0
NRK MP3,http://lyd.nrk.no/nrk_radio_mp3_mp3_h,2,3
NRK P3 Urørt,http://lyd.nrk.no/nrk_radio_p3_urort_mp3_h,2,1
NRK Nyheter,http://lyd.nrk.no/nrk_radio_alltid_nyheter_mp3_h,0,1
NRK Radioresepsjonen,http://lyd.nrk.no/nrk_radio_p3_radioresepsjonen_mp3_h,3,1
NRK Jazz,http://lyd.nrk.no/nrk_radio_jazz_mp3_h,1,2
NRK Klassisk,http://lyd.nrk.no/nrk_radio_klassisk_mp3_h,1,1
NRK Folkemusikk,http://lyd.nrk.no/nrk_radio_folkemusikk_mp3_h,3,0
NRK Sport,http://lyd.nrk.no/nrk_radio_sport_mp3_h,0,3
NRK Super,http://lyd.nrk.no/nrk_radio_super_mp3_h,3,3
NRK Sápmi,http://lyd.nrk.no/nrk_radio_sami_mp3_h,1,3
NRK P13,http://lyd.nrk.no/nrk_radio_p13_mp3_h,1,4
NRK Pyro,http://lyd.nrk.no/nrk_radio_p3_pyro_mp3_h,2,2
NRK Rap,http://lyd.nrk.no/nrk_radio_p3_national_rap_show_mp3_h,3,2
NRK P1 Pluss,http://lyd.nrk.no/nrk_radio_p1pluss_mp3_h,0,4
